9,"[u'congratul', u'eagl', u'first', u'ever', u'win', u'super', u'bowl', u'superbowl', u'flyeagelsfli', u'eagl', u'nbcsport']"
11,"[u'philadelphia', u'eagl', u""n't"", u'one', u'fli', u'away', u'win', u'last', u'night', u'vitalnew', u'superbowl', u'alexa']"
14,"[u'\u2019', u'hate', u'eagl', u'\u2019', u'one', u'eagl', u'flyeaglesfli', u'superbowlchampion']"
35,"[u'escort', u'directori', u'costarica\xae\u30102003-2018\u3011w', u'first', u'escort', u'busi', u'central', u'america', u'accepting\u2026']"
54,"[u'year', u'year', u'fall', u'short', u'bad', u'luck', u'card', u'us', u'eagl', u'final', u'made', u'hi\u2026']"
57,"[u'forecasterenten', u'dilli', u'dilli', u'flyeaglesfli']"
62,"[u'crack', u'kid', u'goe', u'crazi', u'super', u'bowl', u'win', u'superbowl', u'shanedawson', u'mytoecold', u'red_formula']"
67,"[u'\U0001f447', u'4.8', u'billion', u'imp', u'wow', u'superbowl', u'\U0001f4aa']"
70,"[u'nickfol', u'outduel', u'tombradi', u'mvp', u'honor', u'nfl', u'superbowl52', u'superbowllii', u'superbowl2018\u2026', u'http', u'//t.co/gegjclurh']"
78,"[u'``', u'philli', u'crazi', u'...', u""''"", u'flyeaglesfli']"
87,"[u'eagl', u'espn', u'superbowl', u'jeffskverski', u'6abc', u'nbcphiladelphia', u'fox29philli', u'cbsphilli', u'us', u'last', u'night\u2026']"
89,"[u'pumphrey6k', u'brother', u'law', u'post', u'ig', u'earlier', u'glad', u'nephew', u'got', u'take', u'cool', u'pic', u'\u2026']"
105,"[u'\u201c', u'realli', u'run', u'street', u'eagl', u'boxer', u'\u201d', u'-overheard', u'buy', u'superbowl52', u'shirt', u'flyeaglesfli']"
108,"[u'live', u'preview', u'thursday', u'\u2019', u'parad', u'flyeaglesfli']"
115,"[u'think', u'favorit', u'photo', u'last', u'night', u'phillypolic', u'help', u'take', u'photo', u'famili', u'celebrati\u2026']"
117,"[u'escort', u'directori', u'costarica\xae\u30102003-2018\u3011w', u'first', u'escort', u'busi', u'central', u'america', u'accepting\u2026']"
129,"[u'super', u'bowl', u'halftim', u'show', u'get', u'set', u'six', u'minut', u""'s"", u'impress', u'via\u2026', u'http', u'//t.co/hjcc5hr4bt']"
134,"[u'chill', u'man', u'time', u'run', u'*******', u'wall', u'flyeaglesfli']"
154,"[u'superbowlsunday', u'superbowl', u'justintimberlak', u'justintimberlak', u'super', u'bo\u2026', u'http', u'//t.co/mqi1nvlnm8']"
156,"[u'felt', u'last', u'night', u'philli', u'got', u'dub\U0001f480', u'flyeaglesfli']"
176,"[u'big', u'dick', u'nick', u'commerci', u""'m"", u'justin', u'timberlak', u'super', u'...', u'via', u'youtube\u2026', u'http', u'//t.co/rv6n2qxreh']"
181,"[u'azsweetheart013', u'let', u'good', u'game', u'superbowl']"
